"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"3526 RRAS17",9,14,8,13,10,18,12,9,11,18,14,11,10,8,10,6,13,10,12,9,9,17,12,12,7,282
"3527 RRAS16",4,5,6,3,7,5,5,8,5,8,4,1,2,5,3,5,3,4,5,4,4,7,6,2,2,113
"3528 RRAS15",18,14,10,16,14,19,16,19,19,9,11,15,10,18,13,14,18,13,18,16,8,5,10,7,12,342
"3529 RRAS14",10,7,6,14,5,4,7,6,8,7,10,3,4,7,5,6,6,3,6,5,6,6,5,7,2,155
"3530 RRAS13",16,22,21,18,14,15,21,14,15,11,21,16,14,16,17,15,16,12,14,21,23,15,18,11,10,406
"3531 RRAS12",10,18,16,10,14,11,7,11,10,4,11,9,14,9,8,4,12,7,8,8,10,6,5,6,7,235
"3532 RRAS11",2,4,3,4,-,6,3,2,1,5,2,2,1,5,1,6,3,3,2,2,3,2,2,1,2,67
"3533 RRAS10",6,3,1,5,10,4,6,3,6,9,3,7,4,5,5,4,5,8,4,4,6,5,3,1,4,121
"3534 RRAS1",18,17,14,17,18,18,12,15,13,15,18,11,14,12,19,8,12,11,7,15,7,9,12,10,11,333
"4105 MACRORREGIONAL NORTE",12,9,9,9,10,10,12,6,11,8,9,14,11,8,11,9,7,5,6,10,14,6,7,10,4,227
"4106 MACRORREGIONAL NOROESTE",4,16,7,10,7,5,14,8,3,11,10,10,7,10,11,8,12,5,3,12,4,5,5,5,4,196
"4107 MACRORREGIONAL LESTE",18,24,39,33,31,33,28,26,29,35,29,30,25,32,35,25,19,28,31,32,20,31,25,24,15,697
"4108 MACRORREGIAO OESTE",5,8,10,8,8,8,3,9,9,15,6,11,14,11,9,9,13,11,12,10,8,9,7,8,2,223
"4210 SUL",10,4,9,3,8,3,2,7,6,4,3,-,5,3,6,2,5,2,3,6,4,4,3,3,4,109
"4211 PLANALTO NORTE E NORDESTE",10,9,3,3,9,6,7,1,6,3,6,7,10,12,9,7,7,8,6,2,2,5,11,8,5,162
"4212 MEIO OESTE E SERRA CATARINENSE",2,3,1,5,11,3,6,6,5,1,5,3,5,5,8,3,9,4,3,3,5,1,5,3,3,108
"4213 GRANDE OESTE",4,5,7,4,4,6,8,4,8,4,1,5,3,4,2,1,8,5,2,6,1,3,5,2,-,102
"4214 GRANDE FLORIANOPOLIS",8,4,6,7,1,5,8,5,8,5,4,7,2,4,3,6,10,10,4,3,5,4,3,6,5,133
"4215 FOZ DO RIO ITAJAI",1,1,4,-,1,3,2,5,-,4,5,1,1,7,2,3,3,3,1,2,-,3,2,-,5,59
"4216 ALTO VALE DO ITAJAI",2,3,5,3,2,3,3,3,6,3,3,2,2,4,8,1,6,5,2,4,5,5,7,5,3,95
"4308 VALES",7,2,4,5,10,1,4,4,6,5,5,6,3,4,2,5,1,8,5,5,5,3,7,-,2,109
"4309 SUL",4,5,7,9,7,6,3,2,11,5,5,6,4,6,3,9,6,3,5,5,2,3,1,4,7,128
"4310 SERRA",9,7,6,3,8,6,4,8,4,4,4,3,16,10,7,6,5,3,3,5,6,4,1,1,5,138
"4310 SERRA",6,13,10,3,7,2,10,6,6,7,11,10,10,2,8,8,3,9,5,4,6,5,8,6,8,173
"4312 MISSIONEIRA",3,7,5,3,6,6,-,6,6,7,6,6,9,6,4,8,4,3,1,2,2,4,3,6,3,116
"4313 METROPOLITANA",17,28,28,28,22,30,18,16,15,23,24,28,18,23,24,25,22,25,20,19,25,27,20,17,15,557
"4314 CENTRO-OESTE",4,6,5,3,7,7,5,9,9,5,5,1,3,9,6,4,3,4,6,1,4,1,4,4,2,117
"5005 TRES LAGOAS",3,1,2,1,2,1,-,1,-,2,1,-,3,-,2,-,2,-,-,1,2,-,1,1,-,26
"5006 DOURADOS",2,2,5,2,3,3,3,7,3,3,2,3,4,3,4,3,2,2,4,3,4,2,5,2,4,80
"5007 CORUMBA",1,2,1,1,2,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,1,1,-,1,14
"5008 CAMPO GRANDE",7,6,9,3,8,11,5,10,6,5,9,9,6,7,9,10,12,12,5,9,6,5,3,6,6,184
"5101 MACRORREGIAO SUL",2,-,2,2,4,2,4,-,4,5,-,3,3,1,4,2,-,3,1,1,9,2,2,2,3,61
"5102 MACRORREGIAO OESTE",2,1,-,3,2,-,3,3,-,1,-,1,1,1,2,-,2,2,2,3,4,2,1,1,-,37
"5103 MACRORREGIAO NORTE",1,3,1,4,3,1,2,3,3,5,3,3,4,4,1,4,3,3,6,-,4,1,3,3,-,68
"5104 MACRORREGIAO LESTE",-,-,1,3,1,3,1,-,-,-,2,1,1,1,-,1,1,1,-,1,-,1,1,1,2,23
"5105 MACRORREGIAO CENTRO-NORTE",6,5,7,8,10,6,10,6,10,10,11,8,10,7,11,8,9,5,6,5,1,2,2,3,5,171
"5206 MACRORREGIAO SUDOESTE",1,-,1,3,3,-,2,4,4,4,3,2,2,5,5,3,5,6,2,2,4,-,4,2,6,73
"5207 MACRORREGIAO NORDESTE",3,4,7,5,4,1,8,2,9,4,5,10,4,7,6,3,9,7,5,9,8,3,8,8,4,143
"5208 MACRORREGIAO CENTRO-OESTE",12,11,12,9,10,9,7,16,12,4,14,12,12,21,8,11,16,9,8,20,17,12,9,11,16,298
"5209 MACRORREGIAO CENTRO-NORTE",2,5,4,2,2,4,6,5,3,2,1,3,5,7,4,3,8,5,2,3,9,3,4,4,7,103
"5210 MACRORREGIAO CENTRO SUDESTE",2,4,6,4,8,5,10,3,6,5,2,4,5,3,4,6,8,8,9,8,5,11,8,6,2,142
"5302 MACRORREGI�O DE BRAS�LIA",21,15,18,22,11,16,13,12,16,7,14,15,6,12,11,15,19,15,8,14,17,9,13,8,5,332
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",828,861,906,878,936,933,901,897,914,961,927,957,904,998,908,961,994,976,895,986,933,826,823,805,738,22646
 Fonte: MS/SVS/CGIAE - Sistema de Informa��es sobre Mortalidade - SIM,,,,,,,,,,,,,,,,,,,,,,,,,,
 Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 Em 2011, houve uma mudan�a no conte�do da Declara��o de �bito, com maior detalhamento das informa��es coletadas. Para este ano, foram,,,,,,,,,,,,,,,,,,,,,,,
 utilizados simultaneamente os dois formul�rios. Para mais detalhes sobre as mudan�as ocorridas e os seus efeitos, veja o documento,,,,,,,,,,,,,,,,,,,,,,,,,
 "Sistema de Informa��es sobre Mortalidade - SIM. Consolida��o da base de dados de 2011".,,,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notifica��o 2017 foram atualizados, com altera��o das causas b�sicas de 2 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notifica��o 2019 foram atualizados, com altera��o das causas b�sicas de 4 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
