"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"2109 MACRORREGIAO SUL",-,1,-,-,-,3,2,2,3,-,4,1,2,2,1,2,1,3,-,2,1,2,1,-,3,36
"2110 MACRORREGIAO NORTE",2,4,1,1,3,2,3,5,5,5,2,6,2,3,2,4,-,7,4,3,4,1,3,4,3,79
"2111 MACRORREGIAO LESTE",-,-,-,-,1,3,2,3,4,4,2,2,1,3,-,1,1,2,2,3,2,-,1,3,1,41
"2207 SEMI-ARIDO",-,-,-,-,-,-,1,2,-,1,2,1,-,-,-,-,1,-,-,-,-,-,1,-,2,11
"2208 MEIO NORTE",-,2,-,-,-,2,-,2,-,1,3,2,1,1,1,2,-,1,3,-,-,-,2,-,3,26
"2209 LITORAL",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,4,-,7
"2210 CERRADOS",-,-,-,-,1,-,-,-,-,1,1,2,-,2,-,1,1,1,1,1,-,-,-,-,-,12
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",-,-,-,-,-,-,1,-,1,1,-,-,2,1,1,-,-,-,1,-,-,-,-,1,1,10
"2307 4� MACRO - SERTAO CENTRAL",-,-,-,-,1,-,1,1,-,-,1,1,3,-,-,-,-,1,-,-,1,-,-,1,2,13
"2308 3� MACRO - CARIRI",-,-,-,1,2,1,1,2,2,2,-,4,3,-,-,-,2,2,1,3,-,-,-,-,1,27
"2309 2� MACRO - SOBRAL",2,2,2,3,3,3,1,3,2,2,1,5,4,-,1,1,-,1,2,1,3,-,1,1,-,44
"2310 1� MACRO - FORTALEZA",2,6,21,4,6,8,2,8,1,7,9,6,4,2,2,4,2,6,1,1,5,4,3,4,3,121
"2401 MACRORREGIAO II",-,1,-,-,1,1,1,-,-,2,1,3,1,1,2,2,-,2,-,1,1,-,2,-,1,23
"2402 MACRORREGIAO I",2,-,5,2,4,5,-,2,1,8,4,5,3,3,2,3,5,2,5,1,4,1,4,7,5,83
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",-,-,-,-,1,1,1,1,1,-,1,1,3,-,-,-,-,-,-,-,1,-,-,1,-,12
"2502 MACRORREGIAO II - CAMPINA GRANDE",-,2,-,2,1,-,2,1,1,1,2,1,-,1,-,-,1,-,-,-,-,2,1,-,2,20
"2503 MACRORREGIAO I - JOAO PESSOA",1,3,-,1,-,-,-,1,1,2,1,2,2,3,-,1,-,2,1,2,3,1,2,2,2,33
"2605 VALE DO S.FRANCISCO E ARARIPE",1,1,-,1,1,1,1,-,2,1,1,-,-,1,2,1,2,1,1,1,1,1,1,1,-,23
"2606 SERTAO",2,1,-,-,1,-,-,-,1,-,1,1,-,-,-,2,1,-,-,-,1,2,-,-,-,13
"2607 METROPOLITANA",6,5,1,4,4,3,1,6,5,5,11,5,8,5,3,1,3,5,3,7,5,1,1,2,-,100
"2608 AGRESTE",2,2,1,1,1,2,2,-,4,1,-,2,-,1,1,2,-,1,-,2,-,1,1,1,1,29
"2703 2� MACRORREGIAO DE SAUDE",-,1,2,-,-,2,2,-,1,2,2,1,1,2,-,2,2,2,-,2,-,1,1,1,3,30
"2704 1� MACRORREGIAO DE SAUDE",-,2,1,-,1,1,1,2,-,2,4,2,2,1,5,-,1,3,-,4,-,2,2,2,2,40
"2801 MACRO UNICA",4,2,2,3,6,3,3,1,-,4,2,4,2,4,-,3,-,3,1,-,3,4,2,3,2,61
"2910 SUL (NBS - ILHEUS)",1,-,-,-,1,-,2,2,1,1,-,2,3,1,4,-,3,2,-,2,-,-,-,4,-,29
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",1,1,-,1,3,-,2,-,-,-,1,-,-,1,6,-,1,2,1,3,1,1,1,1,1,28
"2912 OESTE (NBS - BARREIRAS)",1,-,-,1,1,-,-,-,1,1,3,-,1,1,-,-,-,-,1,1,2,-,-,-,-,14
"2913 NORTE - (NRS - JUAZEIRO)",-,-,1,1,2,1,-,2,2,-,-,-,3,1,1,3,1,-,-,-,-,1,1,2,3,25
"2914 NORDESTE (NRS - ALAGOINHAS)",-,-,-,-,2,-,-,-,1,-,-,1,1,2,1,1,-,-,-,-,-,-,1,-,-,10
"2915 LESTE - (NRS - SALVADOR)",4,2,2,6,1,6,4,7,2,4,4,5,2,3,2,3,9,-,4,6,6,3,7,3,1,96
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",-,-,-,1,-,-,-,1,2,-,-,2,-,-,2,-,-,3,-,-,-,1,-,2,-,14
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",2,1,-,-,-,3,-,2,-,2,2,4,5,-,-,3,4,1,-,-,1,1,3,2,1,37
"2918 CENTRO - NORTE (NRS - JACOBINA)",-,-,1,1,-,1,-,-,1,1,1,-,-,-,1,-,1,1,1,-,2,-,-,-,-,12
"3101 SUL",4,1,2,5,3,2,3,2,1,1,-,2,1,1,-,1,1,3,1,-,2,1,1,2,1,41
"3102 CENTRO SUL",-,-,1,1,-,-,-,-,-,-,-,-,3,-,-,-,1,1,-,1,1,1,-,1,-,11
"3103 CENTRO",8,6,3,6,8,4,7,4,6,5,10,5,2,4,4,2,10,3,5,2,2,4,3,3,1,117
"3104 JEQUITINHONHA",1,1,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,6
"3105 OESTE",-,1,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,1,1,-,-,-,-,2,9
"3106 LESTE",1,-,1,-,-,1,1,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,8
"3107 SUDESTE",-,-,1,1,2,1,2,4,1,1,-,1,1,-,-,2,1,-,-,1,1,-,-,-,1,21
"3108 NORTE",3,1,-,-,3,2,-,1,-,2,1,-,2,-,3,1,-,1,1,-,-,1,-,1,1,24
"3109 NOROESTE",1,1,-,-,-,-,2,-,-,1,-,1,-,1,-,-,-,1,-,-,-,-,-,1,-,9
"3110 LESTE DO SUL",1,1,-,-,-,1,1,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,1,-,-,8
"3111 NORDESTE",-,-,-,-,-,-,1,1,-,-,1,2,1,-,1,1,1,-,2,-,1,-,-,-,-,12
"3112 TRIANGULO DO SUL",1,-,-,-,1,2,1,-,-,2,1,-,-,1,-,-,1,-,1,-,1,1,-,-,1,14
"3113 TRIANGULO DO NORTE",1,1,1,1,2,-,-,1,-,-,1,-,1,1,2,1,2,-,-,1,-,-,-,-,-,16
"3114 VALE DO ACO",1,-,-,-,-,-,1,2,1,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,9
"3205 SUL",1,1,-,-,1,1,-,-,1,-,1,-,-,-,-,1,-,-,-,1,-,-,-,2,2,12
"3206 NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"3207 METROPOLITANA",2,2,1,3,3,1,2,3,3,2,4,-,3,2,1,1,4,-,1,3,1,2,2,1,-,47
"3208 CENTRAL",-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,6
"3312 MACRORREGIAO I",16,15,22,11,5,15,12,14,9,9,13,11,5,11,6,10,9,9,4,5,12,8,5,6,9,251
"3518 RRAS9",-,1,1,2,1,2,2,1,2,1,-,1,-,-,-,2,-,2,-,1,2,-,1,3,2,27
"3519 RRAS8",2,5,2,2,5,1,1,3,1,3,-,2,2,1,2,1,2,4,1,-,1,-,2,3,3,49
"3520 RRAS7",2,1,1,3,1,4,2,2,3,3,1,2,2,-,-,1,2,1,1,-,-,-,1,-,2,35
"3521 RRAS6",15,11,17,12,11,8,16,11,7,11,6,4,5,3,4,7,9,8,8,6,7,4,8,7,5,210
"3522 RRAS5",1,1,6,2,3,-,2,3,1,1,3,1,3,1,-,1,1,1,3,2,-,1,1,1,-,39
"3523 RRAS4",-,-,1,-,-,1,1,-,1,4,3,1,2,1,-,-,2,1,2,1,-,-,1,1,-,23
"3524 RRAS3",-,1,1,1,-,1,-,1,1,2,-,1,1,-,-,-,-,2,-,-,2,-,-,-,-,14
"3525 RRAS2",3,3,3,2,-,2,5,2,2,2,3,4,4,1,2,4,4,1,1,2,2,2,-,2,1,57
"3526 RRAS17",2,2,2,3,2,1,-,1,1,1,2,2,2,1,-,2,1,1,2,1,2,-,2,2,-,35
"3527 RRAS16",1,1,1,2,2,-,3,1,1,2,2,-,2,1,-,-,-,-,-,3,-,1,-,-,-,23
"3528 RRAS15",3,2,2,2,1,-,2,2,5,1,3,1,4,1,2,2,4,3,3,-,1,1,1,-,-,46
"3529 RRAS14",3,1,-,-,1,2,1,-,1,1,1,2,1,2,4,-,4,-,2,1,-,1,1,1,-,30
"3530 RRAS13",1,2,4,4,2,5,3,4,4,4,4,3,3,2,3,2,5,2,5,4,-,3,4,3,3,79
"3531 RRAS12",5,3,2,2,2,3,1,1,-,1,1,3,2,1,1,-,-,-,1,3,3,1,1,1,-,38
"3532 RRAS11",1,-,-,-,-,-,2,-,1,1,-,1,-,1,-,-,2,-,-,-,-,-,-,1,-,10
"3533 RRAS10",-,1,1,-,2,3,-,1,2,-,-,-,-,-,1,-,-,-,1,3,-,-,1,-,-,16
"3534 RRAS1",3,2,2,2,2,2,-,3,3,1,-,2,2,3,5,3,4,1,1,2,2,1,-,-,4,50
"4105 MACRORREGIONAL NORTE",4,1,2,2,-,1,3,1,-,-,2,-,-,3,4,2,1,1,2,1,2,1,2,3,-,38
"4106 MACRORREGIONAL NOROESTE",-,-,2,1,1,1,1,3,-,1,-,1,2,1,1,2,4,1,2,-,-,1,-,1,2,28
"4107 MACRORREGIONAL LESTE",4,5,6,6,3,6,4,7,5,2,5,-,4,5,3,3,3,1,7,3,3,4,2,1,2,94
"4108 MACRORREGIAO OESTE",1,2,-,1,3,4,2,1,2,1,3,-,-,-,2,1,3,-,1,3,1,1,-,1,2,35
"4210 SUL",2,-,-,-,-,-,1,1,-,1,1,-,1,1,1,-,2,1,1,-,-,1,-,-,2,16
"4211 PLANALTO NORTE E NORDESTE",1,1,4,3,1,-,-,-,1,-,-,1,2,-,1,1,1,2,-,1,-,2,-,1,2,25
"4212 MEIO OESTE E SERRA CATARINENSE",-,-,1,1,-,1,1,1,-,-,1,1,-,2,-,-,-,-,1,1,-,1,-,-,-,12
"4213 GRANDE OESTE",1,1,2,2,-,1,1,1,-,1,1,1,-,3,1,-,1,-,-,2,-,1,1,1,-,22
"4214 GRANDE FLORIANOPOLIS",2,-,-,2,3,1,-,-,-,2,1,-,1,1,-,-,1,1,-,-,1,1,-,1,1,19
"4215 FOZ DO RIO ITAJAI",-,1,-,-,-,-,-,-,-,1,-,1,-,1,1,-,1,-,1,2,-,-,2,-,-,11
"4216 ALTO VALE DO ITAJAI",2,-,-,-,1,-,-,1,1,1,2,-,-,-,-,-,-,-,-,1,-,1,-,2,-,12
"4308 VALES",-,-,-,-,1,2,-,-,1,2,1,1,1,1,-,-,2,-,1,-,-,-,-,-,-,13
"4309 SUL",-,-,-,1,1,2,3,1,-,2,1,1,1,1,2,2,-,-,1,-,1,2,-,-,-,22
"4310 SERRA",1,1,1,1,-,-,-,-,1,-,-,-,2,2,-,1,-,1,-,-,-,-,1,-,-,12
"4310 SERRA",2,1,2,-,-,-,1,-,1,1,6,1,-,-,2,-,1,-,-,-,-,-,-,1,-,19
"4312 MISSIONEIRA",-,-,-,1,-,1,1,-,1,-,-,1,-,-,1,1,1,1,-,1,1,1,-,-,-,12
"4313 METROPOLITANA",1,4,4,5,4,1,6,2,1,1,1,3,1,1,1,1,3,1,4,2,3,2,2,4,2,60
"4314 CENTRO-OESTE",-,-,1,-,-,-,1,-,-,-,-,1,-,1,1,2,-,1,-,-,-,-,1,-,1,10
"5005 TRES LAGOAS",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,5
"5006 DOURADOS",1,-,2,1,-,-,-,-,1,2,1,1,1,1,3,-,-,1,-,-,2,-,-,-,-,17
"5007 CORUMBA",1,-,-,-,1,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,5
"5008 CAMPO GRANDE",1,3,2,3,2,2,1,-,2,4,-,-,-,2,2,-,1,2,1,1,3,-,1,-,1,34
"5101 MACRORREGIAO SUL",1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,1,1,2,-,1,-,1,-,-,10
"5102 MACRORREGIAO OESTE",-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"5103 MACRORREGIAO NORTE",1,2,1,1,2,-,1,1,-,-,1,-,-,-,2,-,1,1,1,1,-,1,-,-,1,18
"5104 MACRORREGIAO LESTE",-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,3
"5105 MACRORREGIAO CENTRO-NORTE",-,4,2,1,2,3,1,2,1,-,3,1,2,-,1,3,-,-,2,2,1,-,1,1,-,33
"5206 MACRORREGIAO SUDOESTE",-,-,-,-,1,-,-,1,2,-,1,-,-,2,1,-,1,-,-,-,-,1,-,-,1,11
"5207 MACRORREGIAO NORDESTE",-,-,-,1,-,4,-,1,4,1,-,-,-,-,-,1,2,2,3,1,2,2,-,1,-,25
"5208 MACRORREGIAO CENTRO-OESTE",1,3,2,1,4,2,3,5,2,1,3,3,3,2,1,2,3,1,2,1,-,2,1,1,3,52
"5209 MACRORREGIAO CENTRO-NORTE",1,-,1,2,-,1,1,-,-,2,1,2,-,2,-,3,-,-,-,4,-,-,2,1,-,23
"5210 MACRORREGIAO CENTRO SUDESTE",3,1,2,1,2,3,1,5,2,1,2,3,3,1,2,1,3,2,1,2,1,3,1,-,3,49
"5302 MACRORREGI�O DE BRAS�LIA",4,3,1,1,1,1,2,1,1,2,2,-,5,2,3,3,1,1,3,-,3,1,2,2,1,46
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",156,151,165,152,158,168,170,178,151,169,187,168,160,134,133,138,172,134,141,144,135,117,117,139,123,3760
 Fonte: MS/SVS/CGIAE - Sistema de Informa��es sobre Mortalidade - SIM,,,,,,,,,,,,,,,,,,,,,,,,,,
 Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 Em 2011, houve uma mudan�a no conte�do da Declara��o de �bito, com maior detalhamento das informa��es coletadas. Para este ano, foram,,,,,,,,,,,,,,,,,,,,,,,
 utilizados simultaneamente os dois formul�rios. Para mais detalhes sobre as mudan�as ocorridas e os seus efeitos, veja o documento,,,,,,,,,,,,,,,,,,,,,,,,,
 "Sistema de Informa��es sobre Mortalidade - SIM. Consolida��o da base de dados de 2011".,,,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notifica��o 2017 foram atualizados, com altera��o das causas b�sicas de 2 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notifica��o 2019 foram atualizados, com altera��o das causas b�sicas de 4 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
