"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",2,-,1,-,1,-,2,3,2,2,3,1,2,3,1,3,3,4,5,-,5,3,-,1,5,52
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",2,3,1,3,5,5,5,9,5,4,5,3,5,8,5,8,5,6,5,3,7,5,5,4,2,118
"2918 CENTRO - NORTE (NRS - JACOBINA)",1,1,1,1,2,3,4,2,4,2,2,2,3,2,2,4,3,4,3,-,2,2,-,1,1,52
"3101 SUL",5,11,10,11,11,11,10,12,3,6,6,5,8,7,9,8,2,1,8,3,4,6,7,4,4,172
"3102 CENTRO SUL",3,1,3,1,1,1,-,5,2,2,3,3,2,3,2,2,1,-,2,3,4,4,1,2,2,53
"3103 CENTRO",11,20,34,30,19,21,24,21,14,25,14,15,20,19,17,16,20,17,15,21,10,9,13,14,13,452
"3104 JEQUITINHONHA",1,-,-,-,-,-,-,-,-,2,-,-,-,2,3,-,-,2,1,-,-,1,2,-,3,17
"3105 OESTE",4,3,3,1,2,5,2,4,5,1,5,3,4,2,2,1,2,2,2,3,1,1,4,1,3,66
"3106 LESTE",1,2,4,2,4,1,1,2,1,1,2,2,2,1,1,3,5,2,1,5,2,1,3,3,-,52
"3107 SUDESTE",5,4,3,5,5,9,5,4,5,3,2,3,4,6,4,7,2,2,6,3,2,2,7,4,6,108
"3108 NORTE",6,6,11,4,1,4,2,8,6,5,6,5,6,5,6,1,3,5,1,3,4,5,4,6,5,118
"3109 NOROESTE",2,2,-,2,1,2,-,1,1,2,2,3,2,3,3,4,4,1,1,-,-,3,1,3,1,44
"3110 LESTE DO SUL",1,2,1,2,2,3,2,1,3,1,3,-,2,3,-,1,3,2,4,1,3,4,3,1,2,50
"3111 NORDESTE",1,-,-,2,2,2,2,1,-,3,2,1,-,6,2,2,2,2,1,2,5,-,3,2,3,46
"3112 TRIANGULO DO SUL",1,4,2,2,3,1,1,-,2,-,3,2,-,2,-,1,5,2,2,-,1,2,1,1,-,38
"3113 TRIANGULO DO NORTE",3,7,7,9,8,7,4,5,6,7,3,3,2,5,3,4,-,4,3,5,7,2,4,1,3,112
"3114 VALE DO ACO",5,3,1,4,3,2,3,2,5,2,-,3,3,4,-,-,3,2,3,2,2,-,1,-,2,55
"3205 SUL",1,3,2,3,3,1,2,2,2,1,2,2,5,4,-,3,4,3,1,2,3,3,1,1,1,55
"3206 NORTE",-,-,1,3,-,4,2,2,1,3,1,2,2,1,3,4,3,1,1,-,2,1,1,3,1,42
"3207 METROPOLITANA",5,9,6,9,6,8,5,6,5,7,8,8,7,8,5,7,11,7,9,8,9,5,9,9,8,184
"3208 CENTRAL",1,-,1,1,2,6,2,1,1,4,2,2,1,1,3,2,2,3,3,-,6,1,2,2,2,51
"3312 MACRORREGIAO I",57,57,61,47,46,42,47,43,52,42,40,42,35,39,41,39,55,51,31,31,41,50,42,35,38,1104
"3518 RRAS9",4,4,6,5,7,2,8,7,5,6,4,2,6,6,2,9,3,3,4,5,3,1,9,7,3,121
"3519 RRAS8",4,6,11,10,8,4,10,6,7,9,6,12,4,5,6,5,10,10,7,3,6,6,7,4,7,173
"3520 RRAS7",11,11,4,6,7,11,6,6,4,8,6,7,8,5,7,5,4,6,7,-,6,4,5,3,1,148
"3521 RRAS6",33,40,41,47,41,40,40,42,36,29,41,35,32,34,27,26,25,29,25,26,27,34,26,28,15,819
"3522 RRAS5",7,3,7,5,6,5,3,10,10,5,4,3,3,3,2,3,9,2,4,3,2,2,4,7,1,113
"3523 RRAS4",2,4,3,2,5,5,4,1,5,5,1,2,4,2,2,-,3,1,2,2,3,3,3,1,1,66
"3524 RRAS3",-,2,4,1,1,3,3,2,1,2,-,2,-,2,-,-,2,2,3,1,2,-,-,1,2,36
"3525 RRAS2",12,10,12,13,8,10,14,11,13,11,9,8,9,7,5,10,11,4,4,1,9,7,9,3,5,215
"3526 RRAS17",10,4,9,8,9,9,8,7,5,6,7,3,5,7,6,3,7,7,8,3,5,9,6,11,4,166
"3527 RRAS16",2,5,2,2,3,4,-,5,2,4,5,4,4,4,3,1,-,3,5,3,1,2,1,3,1,69
"3528 RRAS15",10,6,11,10,9,7,4,17,8,4,4,6,5,5,10,3,6,4,5,6,10,6,5,7,2,170
"3529 RRAS14",1,6,7,1,6,1,6,4,4,4,2,3,4,-,2,3,3,1,3,7,1,5,2,1,2,79
"3530 RRAS13",13,11,9,7,12,12,13,3,14,8,9,8,11,11,3,10,14,15,12,10,6,8,5,5,7,236
"3531 RRAS12",7,2,5,8,7,10,5,9,4,8,1,4,8,3,2,4,3,5,7,4,7,4,6,8,5,136
"3532 RRAS11",1,-,4,3,4,3,2,3,-,-,1,3,4,4,1,2,2,1,1,1,2,2,3,2,1,50
"3533 RRAS10",5,5,5,7,3,3,5,1,2,6,3,3,1,3,4,3,5,3,2,2,-,1,2,1,4,79
"3534 RRAS1",8,11,5,9,13,8,12,8,12,6,8,5,5,9,8,6,8,12,7,2,5,4,4,4,4,183
"4105 MACRORREGIONAL NORTE",8,14,4,9,14,10,8,9,7,9,10,5,7,9,3,7,4,10,6,6,8,5,4,8,9,193
"4106 MACRORREGIONAL NOROESTE",8,6,6,6,6,6,9,4,7,5,5,1,7,3,2,3,6,7,6,4,2,7,6,5,6,133
"4107 MACRORREGIONAL LESTE",16,18,26,15,26,18,14,25,20,15,23,14,14,15,11,16,18,24,9,14,12,11,11,7,19,411
"4108 MACRORREGIAO OESTE",9,5,9,7,8,6,6,8,5,7,11,6,5,9,7,8,7,3,8,4,8,2,7,6,5,166
"4210 SUL",1,4,2,2,1,2,4,-,3,6,4,1,1,2,5,6,3,2,1,1,3,2,2,1,1,60
"4211 PLANALTO NORTE E NORDESTE",4,3,4,1,5,4,4,5,3,4,6,4,2,5,3,3,6,7,5,4,2,4,4,5,3,100
"4212 MEIO OESTE E SERRA CATARINENSE",4,2,2,3,5,8,6,5,2,4,3,-,1,3,2,2,1,5,3,4,3,1,-,2,4,75
"4213 GRANDE OESTE",4,4,5,4,4,4,-,6,3,-,1,2,3,-,3,1,1,1,3,2,4,2,3,-,-,60
"4214 GRANDE FLORIANOPOLIS",6,5,5,1,1,1,3,3,6,-,1,-,1,1,3,4,1,3,1,3,-,5,2,2,1,59
"4215 FOZ DO RIO ITAJAI",-,3,-,2,5,5,5,2,3,1,-,3,1,-,-,2,3,1,1,1,1,1,3,-,1,44
"4216 ALTO VALE DO ITAJAI",3,4,2,2,-,-,4,3,1,1,3,1,4,3,1,3,2,6,5,2,3,1,3,2,2,61
"4308 VALES",4,7,1,2,4,1,5,1,3,3,2,1,2,4,4,2,1,2,1,2,2,-,1,1,-,56
"4309 SUL",8,2,1,3,2,3,6,2,2,8,1,2,3,4,3,2,5,-,5,4,3,1,2,-,-,72
"4310 SERRA",7,3,4,2,3,5,-,-,2,3,2,2,3,2,4,3,2,3,1,5,4,1,1,5,1,68
"4310 SERRA",3,7,9,4,8,8,5,5,3,3,1,3,3,3,2,5,5,5,3,3,3,6,1,3,-,101
"4312 MISSIONEIRA",3,5,4,3,3,5,4,4,3,2,4,4,-,2,1,3,1,6,-,2,3,3,4,3,-,72
"4313 METROPOLITANA",12,24,20,18,19,13,16,11,13,11,18,11,11,9,17,8,10,11,8,8,8,9,11,13,6,315
"4314 CENTRO-OESTE",3,2,3,2,2,5,5,3,7,6,1,3,2,2,1,5,-,2,3,-,1,2,-,1,3,64
"5005 TRES LAGOAS",-,-,-,1,-,-,2,1,1,1,3,1,1,1,3,-,-,-,3,1,1,-,-,1,1,22
"5006 DOURADOS",5,3,4,9,4,1,4,5,3,4,4,5,4,1,3,1,2,2,1,1,3,3,2,3,2,79
"5007 CORUMBA",2,-,2,2,1,1,-,-,1,1,1,3,-,-,-,-,-,1,1,-,2,1,-,-,-,19
"5008 CAMPO GRANDE",8,5,7,5,3,7,6,2,3,4,3,7,3,5,9,5,9,6,8,8,7,5,5,3,3,136
"5101 MACRORREGIAO SUL",1,-,-,2,4,2,1,2,2,-,2,-,1,2,2,2,2,2,-,1,1,3,4,2,1,39
"5102 MACRORREGIAO OESTE",2,1,3,1,3,1,-,2,1,2,2,1,3,-,-,-,1,-,-,-,1,-,1,-,1,26
"5103 MACRORREGIAO NORTE",2,3,1,2,-,-,1,1,5,2,2,1,3,3,3,2,1,4,2,5,3,5,4,1,2,58
"5104 MACRORREGIAO LESTE",-,1,-,1,-,2,-,2,2,1,4,-,-,-,-,-,-,1,-,1,2,2,-,-,1,20
"5105 MACRORREGIAO CENTRO-NORTE",8,4,3,8,10,2,8,7,11,7,4,12,5,2,3,5,7,4,4,3,7,5,5,2,1,137
"5206 MACRORREGIAO SUDOESTE",-,2,1,-,-,1,1,3,1,-,1,-,1,3,1,2,4,3,2,4,3,2,1,-,1,37
"5207 MACRORREGIAO NORDESTE",5,5,3,3,4,4,3,5,8,6,1,2,3,3,6,6,3,5,2,5,5,4,4,1,2,98
"5208 MACRORREGIAO CENTRO-OESTE",10,10,9,11,6,9,7,6,8,2,3,8,15,10,5,8,6,2,4,3,2,9,14,8,4,179
"5209 MACRORREGIAO CENTRO-NORTE",-,6,3,3,2,7,3,2,5,1,2,4,1,5,4,4,4,-,2,1,2,4,3,6,2,76
"5210 MACRORREGIAO CENTRO SUDESTE",2,2,2,3,8,1,2,3,4,5,6,2,4,2,1,4,4,4,8,5,3,6,2,3,4,90
"5302 MACRORREGI�O DE BRAS�LIA",6,12,8,4,8,6,13,6,9,6,8,9,2,3,8,9,7,8,13,13,8,6,6,4,2,184
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",568,595,676,657,666,645,662,674,666,643,625,572,583,614,573,598,619,602,561,507,569,565,567,502,456,14965
 Fonte: MS/SVS/CGIAE - Sistema de Informa��es sobre Mortalidade - SIM,,,,,,,,,,,,,,,,,,,,,,,,,,
 Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 Em 2011, houve uma mudan�a no conte�do da Declara��o de �bito, com maior detalhamento das informa��es coletadas. Para este ano, foram,,,,,,,,,,,,,,,,,,,,,,,
 utilizados simultaneamente os dois formul�rios. Para mais detalhes sobre as mudan�as ocorridas e os seus efeitos, veja o documento,,,,,,,,,,,,,,,,,,,,,,,,,
 "Sistema de Informa��es sobre Mortalidade - SIM. Consolida��o da base de dados de 2011".,,,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notifica��o 2017 foram atualizados, com altera��o das causas b�sicas de 2 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notifica��o 2019 foram atualizados, com altera��o das causas b�sicas de 4 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
