"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"3312 MACRORREGIAO I",56,64,65,51,60,50,49,59,54,42,78,57,47,42,37,52,56,49,40,30,41,33,35,38,27,1212
"3518 RRAS9",5,5,7,3,7,3,9,4,7,5,5,5,3,2,5,5,8,5,4,4,4,8,4,2,5,124
"3519 RRAS8",6,8,10,10,1,3,8,6,10,5,11,6,2,8,7,7,7,13,5,6,8,1,14,6,4,172
"3520 RRAS7",1,5,4,6,5,4,6,9,-,5,6,9,8,9,6,6,7,9,5,3,8,5,4,3,6,139
"3521 RRAS6",48,53,39,40,33,44,47,41,44,39,57,47,39,41,34,28,40,31,34,34,25,24,26,25,20,933
"3522 RRAS5",6,10,8,5,6,4,4,8,7,6,5,5,7,5,8,7,5,6,4,3,8,-,3,3,4,137
"3523 RRAS4",2,6,5,3,3,6,5,2,5,3,9,2,8,3,3,4,3,3,1,3,2,1,3,7,2,94
"3524 RRAS3",2,1,4,3,2,3,2,-,-,-,2,-,3,1,3,1,2,2,2,1,1,1,1,2,-,39
"3525 RRAS2",12,12,15,10,8,10,8,8,8,13,14,3,16,10,9,4,7,13,12,5,5,13,10,7,9,241
"3526 RRAS17",9,7,13,7,6,10,5,8,5,13,11,7,11,9,6,7,7,8,9,7,10,3,3,4,5,190
"3527 RRAS16",2,5,5,3,-,2,3,3,3,2,5,6,3,2,-,2,4,1,8,3,2,6,4,4,1,79
"3528 RRAS15",16,8,4,8,12,11,6,8,9,3,9,5,9,8,8,7,6,9,10,11,3,5,7,10,8,200
"3529 RRAS14",6,5,3,4,2,2,2,4,4,4,3,2,5,5,3,3,2,4,1,3,2,1,2,1,3,76
"3530 RRAS13",14,6,16,14,11,7,15,13,15,15,13,5,12,17,12,6,12,8,9,12,10,4,12,8,5,271
"3531 RRAS12",4,11,7,8,5,6,14,8,11,8,5,5,6,5,6,7,3,4,6,9,4,8,5,4,2,161
"3532 RRAS11",5,6,1,4,2,4,3,2,-,3,1,2,3,6,2,3,1,3,1,3,4,3,2,1,3,68
"3533 RRAS10",5,2,5,3,3,3,-,4,3,5,4,6,6,-,4,-,3,2,2,3,3,1,2,1,-,70
"3534 RRAS1",12,6,12,6,9,8,7,5,10,8,8,10,6,8,7,6,9,7,3,5,7,6,6,11,3,185
"4105 MACRORREGIONAL NORTE",8,10,7,13,4,8,5,7,12,3,7,5,4,6,5,9,5,8,5,8,6,8,11,8,6,178
"4106 MACRORREGIONAL NOROESTE",9,7,4,2,7,6,11,9,4,5,7,6,11,3,5,7,-,1,4,7,1,5,8,7,4,140
"4107 MACRORREGIONAL LESTE",22,29,22,17,34,17,23,19,19,24,18,20,22,15,19,12,19,16,13,17,15,14,9,9,10,454
"4108 MACRORREGIAO OESTE",11,8,11,12,7,6,9,12,10,5,3,7,4,10,12,12,3,6,7,5,4,11,7,4,5,191
"4210 SUL",5,4,2,1,7,3,3,2,4,5,2,1,1,3,1,2,5,2,2,2,1,2,3,4,2,69
"4211 PLANALTO NORTE E NORDESTE",5,4,1,5,5,4,7,5,1,6,4,4,3,-,1,6,7,6,3,4,3,5,6,6,2,103
"4212 MEIO OESTE E SERRA CATARINENSE",5,3,4,-,3,1,4,5,1,2,3,2,3,-,1,3,3,3,3,2,4,2,-,3,-,60
"4213 GRANDE OESTE",6,9,2,4,3,4,2,3,3,4,1,3,3,1,-,3,1,3,-,-,2,1,-,7,-,65
"4214 GRANDE FLORIANOPOLIS",1,7,4,3,3,2,5,3,3,2,1,3,2,8,-,2,4,-,-,2,5,3,3,4,2,72
"4215 FOZ DO RIO ITAJAI",1,1,1,2,1,1,1,3,2,1,-,2,1,3,-,-,3,4,2,2,1,-,2,3,1,38
"4216 ALTO VALE DO ITAJAI",2,5,2,6,4,4,2,2,3,3,3,2,-,3,2,6,2,2,-,-,4,1,2,1,-,61
"4308 VALES",3,4,3,4,3,2,6,1,3,-,2,5,3,4,2,2,-,5,1,3,2,3,1,3,1,66
"4309 SUL",5,5,4,3,7,2,3,3,5,4,1,2,2,3,3,4,3,2,2,1,2,2,2,3,2,75
"4310 SERRA",5,6,3,6,4,-,2,2,5,2,4,6,7,-,-,5,-,3,6,2,2,5,6,6,2,89
"4310 SERRA",4,11,2,4,5,12,5,4,6,2,6,5,5,5,3,2,8,2,3,4,1,3,2,6,-,110
"4312 MISSIONEIRA",3,9,5,5,6,5,4,2,6,5,1,4,5,-,2,3,-,2,-,1,3,2,1,1,-,75
"4313 METROPOLITANA",14,23,17,30,17,17,18,14,17,18,20,13,16,15,11,12,15,9,14,15,13,9,14,14,12,387
"4314 CENTRO-OESTE",7,4,6,7,5,2,2,4,3,4,1,7,6,3,4,4,3,2,3,2,3,3,3,3,1,92
"5005 TRES LAGOAS",-,1,1,1,-,1,1,1,2,-,-,1,-,1,1,2,-,-,-,1,-,-,2,2,-,18
"5006 DOURADOS",4,1,3,3,4,8,6,2,2,5,5,2,3,2,2,2,6,8,3,4,4,1,2,4,4,90
"5007 CORUMBA",2,-,2,1,1,1,-,-,1,1,3,-,1,2,-,1,-,1,-,1,-,-,-,-,1,19
"5008 CAMPO GRANDE",6,6,4,11,7,5,7,8,6,8,5,3,4,3,3,7,6,4,2,2,6,7,3,9,3,135
"5101 MACRORREGIAO SUL",1,1,1,-,-,5,-,3,2,2,-,4,1,1,-,2,1,1,1,2,-,1,2,2,-,33
"5102 MACRORREGIAO OESTE",1,-,-,2,1,2,3,-,-,1,2,-,-,1,1,-,1,1,1,-,1,-,2,3,2,25
"5103 MACRORREGIAO NORTE",1,2,2,3,2,2,1,6,1,3,5,3,2,-,-,1,1,2,2,4,1,1,3,1,3,52
"5104 MACRORREGIAO LESTE",-,1,1,1,1,1,1,1,2,-,1,-,-,-,-,-,1,2,-,-,1,1,2,-,3,20
"5105 MACRORREGIAO CENTRO-NORTE",7,5,6,2,3,7,2,3,10,6,7,5,5,3,3,4,7,5,6,2,3,5,4,5,6,121
"5206 MACRORREGIAO SUDOESTE",2,2,1,3,-,-,3,5,3,1,1,1,1,2,1,-,4,2,-,4,3,2,-,4,3,48
"5207 MACRORREGIAO NORDESTE",4,2,3,2,8,7,4,4,7,6,6,1,4,6,6,2,5,4,5,4,2,-,3,1,4,100
"5208 MACRORREGIAO CENTRO-OESTE",5,11,7,8,7,9,9,6,10,11,5,12,4,11,10,10,11,12,7,6,9,14,8,12,9,223
"5209 MACRORREGIAO CENTRO-NORTE",1,5,3,3,4,3,5,3,2,1,7,5,2,5,7,3,4,3,6,5,3,1,1,3,3,88
"5210 MACRORREGIAO CENTRO SUDESTE",4,4,4,6,5,3,8,9,2,3,5,4,5,5,3,5,7,4,12,5,2,2,4,2,3,116
"5302 MACRORREGI�O DE BRAS�LIA",9,9,5,5,5,9,14,10,4,9,9,11,8,12,9,7,4,11,12,5,8,8,5,12,7,207
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",601,649,653,630,641,631,712,707,669,671,712,687,671,645,600,609,651,612,631,591,603,548,562,597,504,15787
 Fonte: MS/SVS/CGIAE - Sistema de Informa��es sobre Mortalidade - SIM,,,,,,,,,,,,,,,,,,,,,,,,,,
 Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 Em 2011, houve uma mudan�a no conte�do da Declara��o de �bito, com maior detalhamento das informa��es coletadas. Para este ano, foram,,,,,,,,,,,,,,,,,,,,,,,
 utilizados simultaneamente os dois formul�rios. Para mais detalhes sobre as mudan�as ocorridas e os seus efeitos, veja o documento,,,,,,,,,,,,,,,,,,,,,,,,,
 "Sistema de Informa��es sobre Mortalidade - SIM. Consolida��o da base de dados de 2011".,,,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notifica��o 2017 foram atualizados, com altera��o das causas b�sicas de 2 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notifica��o 2019 foram atualizados, com altera��o das causas b�sicas de 4 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
