"Macrorregi�o de Sa�de","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Total"
"3102 CENTRO SUL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
"3103 CENTRO",1,2,2,2,2,-,-,1,2,1,1,-,-,1,-,-,2,3,1,1,-,-,-,-,1,23
"3104 JEQUITINHONHA",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"3105 OESTE",-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,3
"3106 LESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2
"3107 SUDESTE",-,-,1,-,-,2,1,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-,-,-,-,8
"3108 NORTE",-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,3
"3109 NOROESTE",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
"3110 LESTE DO SUL",-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
"3111 NORDESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"3112 TRIANGULO DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3113 TRIANGULO DO NORTE",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,3
"3114 VALE DO ACO",-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,4
"3205 SUL",-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,4
"3206 NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3207 METROPOLITANA",-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,2,-,1,-,-,-,-,-,7
"3208 CENTRAL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3312 MACRORREGIAO I",4,3,2,-,-,3,3,2,3,-,1,1,1,3,3,2,1,2,2,1,-,-,1,-,4,42
"3518 RRAS9",-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,1,-,-,5
"3519 RRAS8",1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,5
"3520 RRAS7",1,-,-,-,1,2,-,-,1,-,-,-,1,-,-,-,-,-,1,-,1,-,1,1,-,10
"3521 RRAS6",3,-,1,6,2,2,2,2,-,2,1,4,1,2,2,2,3,1,1,2,-,-,-,1,-,40
"3522 RRAS5",1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,6
"3523 RRAS4",-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,-,-,-,-,-,5
"3524 RRAS3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,3
"3525 RRAS2",-,-,-,-,2,-,-,-,-,-,-,1,1,1,-,-,1,-,-,-,2,-,1,1,-,10
"3526 RRAS17",-,-,1,-,-,1,-,-,1,2,-,1,-,1,-,-,2,-,-,-,-,-,-,-,-,9
"3527 RRAS16",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2
"3528 RRAS15",1,-,-,2,-,1,1,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,11
"3529 RRAS14",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2
"3530 RRAS13",-,1,-,-,1,2,-,1,-,-,-,1,-,-,-,-,-,1,-,2,-,1,-,-,1,11
"3531 RRAS12",-,2,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,2,1,-,-,-,-,-,9
"3532 RRAS11",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3533 RRAS10",-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,1,-,1,-,1,-,-,-,-,6
"3534 RRAS1",2,1,-,-,1,-,1,1,1,1,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,11
"4105 MACRORREGIONAL NORTE",2,-,1,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6
"4106 MACRORREGIONAL NOROESTE",-,2,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5
"4107 MACRORREGIONAL LESTE",1,2,1,1,2,-,1,3,1,4,-,2,1,-,-,-,-,1,-,1,1,4,1,-,1,28
"4108 MACRORREGIAO OESTE",1,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-,-,-,-,-,-,1,-,-,-,6
"4210 SUL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
"4211 PLANALTO NORTE E NORDESTE",-,1,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,4
"4212 MEIO OESTE E SERRA CATARINENSE",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,4
"4213 GRANDE OESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"4214 GRANDE FLORIANOPOLIS",1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"4215 FOZ DO RIO ITAJAI",-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2
"4216 ALTO VALE DO ITAJAI",-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,5
"4308 VALES",-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,5
"4309 SUL",1,1,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,9
"4310 SERRA",-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
"4310 SERRA",-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,3
"4312 MISSIONEIRA",-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3
"4313 METROPOLITANA",1,1,1,4,-,1,-,-,-,1,-,1,-,-,5,-,1,-,-,-,-,1,1,-,-,18
"4314 CENTRO-OESTE",-,-,-,1,-,-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,5
"5005 TRES LAGOAS",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
"5006 DOURADOS",-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,3
"5007 CORUMBA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5008 CAMPO GRANDE",-,1,-,-,1,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,6
"5101 MACRORREGIAO SUL",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5102 MACRORREGIAO OESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5103 MACRORREGIAO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,2
"5104 MACRORREGIAO LESTE",-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"5105 MACRORREGIAO CENTRO-NORTE",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,4
"5206 MACRORREGIAO SUDOESTE",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
"5207 MACRORREGIAO NORDESTE",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2
"5208 MACRORREGIAO CENTRO-OESTE",1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,2,-,1,-,-,-,-,1,9
"5209 MACRORREGIAO CENTRO-NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"5210 MACRORREGIAO CENTRO SUDESTE",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,3
"5302 MACRORREGI�O DE BRAS�LIA",-,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,1,7
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",30,26,25,27,29,27,20,17,23,21,15,19,29,29,31,23,32,26,30,30,15,19,20,17,23,603
 Fonte: MS/SVS/CGIAE - Sistema de Informa��es sobre Mortalidade - SIM,,,,,,,,,,,,,,,,,,,,,,,,,,
 Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 Em 2011, houve uma mudan�a no conte�do da Declara��o de �bito, com maior detalhamento das informa��es coletadas. Para este ano, foram,,,,,,,,,,,,,,,,,,,,,,,
 utilizados simultaneamente os dois formul�rios. Para mais detalhes sobre as mudan�as ocorridas e os seus efeitos, veja o documento,,,,,,,,,,,,,,,,,,,,,,,,,
 "Sistema de Informa��es sobre Mortalidade - SIM. Consolida��o da base de dados de 2011".,,,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notifica��o 2017 foram atualizados, com altera��o das causas b�sicas de 2 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notifica��o 2019 foram atualizados, com altera��o das causas b�sicas de 4 registros e exclus�o de 1 registro.,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
